party_raw,match_status,matched_to,similarity_score,customer_id
"Anubhooti Kirana, H Ashram",AUTO-MATCH,Anubhooti Kirana H Ashram,1.000,543da157-8ee6-46c6-81c7-6f1d92044611
Anvi  Kirana,AUTO-MATCH,Anvi Kirana,1.000,dbcbcb0f-c1ca-4404-89cd-5d01c12e269f
Anand  Kirana D.R.,AUTO-MATCH,Anand Kirana D.R.,1.000,85bfb1d9-c7f3-458a-a1a2-1ccddc7d55ca
Aksa Kirana,AUTO-MATCH,Aksa Kirana,1.000,cc1df6b1-76f4-43de-8a32-de3c2cae002b
7/12 HOTEL,AUTO-MATCH,7/12 Hotel,1.000,c8eea4fe-ac56-4165-abbd-15324ddee44e
Arun Tea House( Sadhubha),AUTO-MATCH,Arun Tea House( Sadhubha),1.000,c1c2a773-9ca1-49e2-9458-b79fab270560
Ashirwad Kirana Lonar,AUTO-MATCH,Ashirwad Kirana Lonar,1.000,0cf4c693-456f-4143-a351-dc2990c8f399
Ajay Agency,AUTO-MATCH,Ajay Agency,1.000,313c3196-0051-40b4-a82b-e29341b28f97
Advait Kirana H Ashram,AUTO-MATCH,Advait Kirana H Ashram,1.000,79abc08b-4669-441c-982b-241e13187a0e
Akash Kirana (Malipeth),AUTO-MATCH,Akash Kirana ( Malipeth ),0.958,146d92f7-49d7-4d4c-96f5-c513f46d6937
Sanvi  Kirana,AUTO-MATCH,Anvi Kirana,0.957,dbcbcb0f-c1ca-4404-89cd-5d01c12e269f
