id,name
4b3860a3-79f6-4a02-b6c9-8e50f93a92f5,Aishvarya & Company
313c3196-0051-40b4-a82b-e29341b28f97,Ajay Agency
ec1b0d44-3d11-4a38-9eaf-8f626312bb58,Ajay kirana
12ecfa78-bbc4-44af-9314-dcfdd7b291ce,Ajay Kirana
92fd2e94-3b7e-4528-828b-fc846f7cc64d,Ajay Provision
3e164f84-962f-47b0-b707-b1a2ef1c834b,Ajay Traders
d16b186b-ca88-48e1-a19e-3199478c193f,ajgar Kirana
89bc443e-f380-47a0-b0b8-41d0234bdc7d,Ajinkya Kirana
2f3d254d-8be1-4bd6-9c4c-2016799ccaf5,Ajinkya Kitna ( Kharpudi Chowk )
59a5a563-5b75-4939-8129-a2c8ae239b0a,akash kirana
917e06d7-a080-4e73-835f-47f1cbc0159a,Akash kirana
21b3a022-184e-4d2f-8016-22e01f95f201,Akash kirana
7b72f0c6-44a1-4b97-b0ec-5f384e0db8e5,Akash Kirana ( Indra Nagar )
146d92f7-49d7-4d4c-96f5-c513f46d6937,Akash Kirana ( Malipeth )
b789b811-7e35-453a-bd4e-26c44e64b0db,Akash Kirana Antrideshmukh
e4f04042-80e3-4d57-8c87-ea098d2fa281,akash tea center
ac685e8c-2f95-41ef-99ce-777927516425,akash tea centre
2d000a2a-94ec-4840-814c-48a330dc3244,Akbar Kirana (Manthachaufully)
023a15be-624c-4e34-9019-30a85f9731e8,Akbar Kirana (Manthachaufully)
cc1df6b1-76f4-43de-8a32-de3c2cae002b,Aksa Kirana
81677a23-fb08-410c-9086-83286309e712,Akshay hotel
24f8650e-6b42-4af2-910a-092b47b9ebc9,Akshay kirana
01155bdc-709f-4fe4-8505-5dde707f450b,Akshay kirana
e08642a4-3381-46dc-b9ac-544a90f2cf61,Aktar Kirana
e8ed609a-3d5c-47f8-a59c-de00778dd3e2,Amardas Goli Biscuit
5a71f396-d9cb-4e30-9e9e-044f5fd369c8,Ambika General Lonar
356aa124-6923-4270-ac40-07f0131b196e,Ambika General Lonar
f713e9e2-45a6-4e6a-80aa-43e822cf21ba,Ambika Provision P Bess
f2484f0d-14b5-4d6d-be2b-afcf7a390755,Amina Kirana Mehkar
ca7734c1-9a20-4b6b-a2a6-19afac6d6386,Amit Provision
12813e30-2cef-4d25-95a2-413f49100717,Amol Kirana (Sambhaji Nagar)
6888ab01-ce7e-4504-94a2-3f6d895905c7,Amol Kirana (Sambhaji Nagar)
1e33c0d8-0102-473e-b0b8-456cc597d7b3,Amritkamal Kirana
444335aa-bb1b-4408-833f-2963326a8b1f,Amurta kirana
208cb880-d0df-417b-a86e-31b12cb9f05d,Ananad Kirana Mera
f345b360-4687-45ed-9d6e-7b6638674162,Ananad Kirana Mera
2053ac6b-4b29-405f-aad3-5759406e8c28,Anand Kirana
85bfb1d9-c7f3-458a-a1a2-1ccddc7d55ca,Anand Kirana D.R.
904ff0e7-c14c-4d7b-b48b-4a9988649db1,Anandi Super Shopee
9867aaff-0930-4c66-820d-e6ad356bc51a,Anandi Super Shopee H Ashram
b742aa30-d6fd-41d1-b888-55bc222994f1,Anandinath Matki
55307b3d-89e2-4356-99cc-01c7c004fddd,Anil Kirana R. S.
1ee1ceda-58ee-44e8-9e97-7e6b591be4a4,Anil Kirana R. S.
70559c5e-a820-471a-9ccc-7ba14953df61,Ankita Traders
73a4390b-682b-45f9-9d35-87dc435de145,Anmol Kirana
c10d8cb8-5e5d-457e-8665-549cbd6f520d,Annapurana Mata Kirana
e3b8a5e0-1d8c-4f26-9f92-6c52f45fb7e9,Annapurna Kirana (Fine Living)
c2917690-4154-4eb2-85c7-8f0008641045,Annapurna Kirana Dhanya Bhandar
9452e548-82d1-478e-851b-dceb916b9ded,Annapurna Shopi
2d0b1a94-ed11-4929-a0c4-a60be1616292,Annapurna Shopi
5f4e9f11-d012-4b26-bfa2-aafb191af733,Ansh Kirana ( Old Midc )
4c9c465a-69c2-4121-b37f-941663429f5d,Ansh Kirana N.V.
d9221290-27fd-4abd-abd0-5ffebbc82378,Anshraj kirana
543da157-8ee6-46c6-81c7-6f1d92044611,Anubhooti Kirana H Ashram
1729f86a-7ede-46f0-a73c-eac9b5b7eb91,Anuradha Kirana ( C P )
24a48f03-a47c-4da9-a2b4-a657ac5cb9ee,Anushka Tel Bhandar C.Z
dbcbcb0f-c1ca-4404-89cd-5d01c12e269f,Anvi Kirana
b7876419-6ed1-43aa-a60f-789a7b2a1632,Anvi Kirana
c10bc3bd-8374-4291-8105-c1a482e5c81b,Appa Kirana
fee23935-17c5-4772-a4f5-16cdfdf04f51,Apurva Kirana
61727ba3-c89c-46d8-b1d4-0080a887ab58,Arbaj Kirana
1f5a081c-12ba-4b7a-b4eb-9b604a43de78,Arbaj Kirana
20d3609f-0406-48d9-961d-801915b64774,Arihant Kirana
9f5122c1-f173-4be6-a77f-7432f7ca553c,Arihant Kirana D Raja
448a8f40-22e7-4d58-99cc-ec9cac1ff9eb,Arihant Kirana Stores
e0fc388b-4097-457d-82a8-7ecef701c122,Arihant Provision
47af8c6f-6c21-41ad-83ed-7c2e38a94528,Arman Kirana (Andhera)
a2ab0079-cc38-45b8-8046-5221b4c60c1e,Arman Kirana (Andhera)
c1c2a773-9ca1-49e2-9458-b79fab270560,Arun Tea House( Sadhubha)
3cf5a5a3-8599-45f4-ad89-242e0c8a73fe,asawari kirana
0cf4c693-456f-4143-a351-dc2990c8f399,Ashirwad Kirana Lonar
fa7b91cf-b923-414d-a3ef-bb8114cf57a6,Ashirwad Kirana Stores
77aef34b-9b92-45bd-b644-a0a15582a8a8,Ashish Kirana ( Polas Gall )
d50ce283-f16c-42b3-b281-207a486b87ef,ASHISH KIRANA D.RAJA
ff1eddaa-b498-4682-9a0f-0ee27e21b5ea,ASHISH KIRANA D.RAJA
